X,Y
31.7117,48.589504
31.889044,48.578594
32.25999,48.199062
32.161526,48.172497
32.364872,48.072517
30.954666,49.393394
31.786348,47.231266
-40.03926,27.24044
-47.959335,24.246286
36.005375,42.78319
29.444046,48.02299
41.824196,-12.133144
-14.864973,19.700968
-18.595512,16.269901
31.515432,47.5539
31.19572,47.749
31.002563,48.243732
-14.355179,20.473381
31.717018,47.068798
-13.996985,20.024994
31.477192,47.277927
31.452095,47.26138
30.073423,47.85883
30.326649,48.56464
30.886362,48.0285
29.144,47.73508
38.65337,23.59395
-43.060493,-20.635448
36.054924,42.50471
36.787956,41.365414
29.646364,47.707912
-47.82112,24.331133
-47.836708,24.307884
-12.61618,20.031363
20.526838,48.021793
-19.16582,-4.71566
-27.903637,20.769855
22.846422,48.43871
31.869562,-28.823055
30.978401,48.57276
30.596172,45.038044
-12.650605,19.996738
41.848583,-12.128789
31.363295,46.493557
29.17362,47.897522
-19.409372,-4.5082054
29.99908,37.77832
30.4029,25.361639
30.710892,47.59682
-15.259999,18.84921
-19.432144,-4.485909
-14.073764,19.852245
30.804625,48.7752
29.392397,47.706844
30.505602,46.100136
30.787582,49.08323
38.54844,23.772833
30.718874,45.291485
28.632032,46.493275
28.312225,43.69268
29.79446,46.578857
28.840088,47.063553
31.05378,46.495403
31.419416,46.753227
-14.790173,19.516443
41.753857,-12.146494
-40.9956,26.892014
36.335133,41.495785
12.193377,40.201763
-14.558754,19.425102
28.135073,45.57036
30.688183,48.722187
41.826405,-12.132006
11.376078,32.14266
27.182608,44.75125
-14.744207,19.212442
28.386293,47.69499
29.315168,47.047863
36.145992,22.519316
35.697186,41.37143
35.604355,41.58968
-13.478808,18.893148
-12.477378,19.749035
35.681343,41.449886
-38.598824,-25.073313
35.675426,41.93991
36.571613,23.325443
34.54776,41.076458
-35.317764,-25.712431
-13.492878,18.768637
29.071877,47.781513
25.155457,45.37399
-14.866365,12.537466
38.19906,23.462454
-14.889835,16.569328
35.66524,42.41454
29.935286,46.283566
37.655655,23.101446
29.891766,45.098896
31.391592,45.15985
35.986893,41.60833
-17.900396,12.494042
-14.528299,17.840628
31.18895,46.198814
38.607956,23.689869
22.770226,48.13804
29.262554,44.187912
26.52878,43.862648
-20.692356,-24.957834
28.28275,44.71966
-40.763706,26.701733
-20.563963,2.8628013
29.08648,47.507812
25.476772,43.098747
-39.707542,26.89862
25.390432,44.973404
-14.72685,-32.84421
30.715765,36.15129
29.519957,46.59888
15.500656,45.250378
-20.763481,3.6246605
27.938042,44.526604
-20.636196,2.0414083
30.379541,41.067146
-11.740007,19.189478
36.166317,41.36293
21.80638,47.71735
-27.925762,20.4953
-42.816383,-20.650661
-26.369001,20.52092
30.721924,44.40837
30.35527,44.931866
25.477627,41.65223
12.968232,35.568027
21.157131,25.48975
26.893707,42.624348
12.529421,41.439255
31.547537,-28.718737
38.892097,25.104599
-18.665287,15.907427
-19.083387,-23.74911
37.75848,23.097893
26.461498,42.558693
27.080967,43.943146
22.439644,48.1405
-46.197697,22.711435
-18.598541,-27.387903
-8.190437,-35.58534
-43.624344,20.48503
31.217148,45.345566
-18.75256,-27.48273
15.822335,45.047432
29.015917,42.660076
-27.572075,19.93667
-40.582756,-23.401447
26.917574,42.19019
-47.04067,24.493969
-7.363248,-39.077576
25.209599,37.470165
-16.762932,16.786882
20.99184,48.300236
-47.19036,24.758894
34.53111,40.07001
-19.10441,15.905516
21.233631,48.00276
-38.593235,-25.065632
27.133402,38.947674
-18.045906,7.7459517
-46.05101,23.372862
37.453846,26.000679
26.684927,43.738884
-2.4825013,10.939503
38.86741,25.10365
21.436354,48.03275
28.635368,45.673195
30.44725,42.14589
27.966976,45.342545
3.9790223,17.402426
-47.07287,24.963358
-13.917487,-27.65636
-29.133368,20.072628
37.1343,26.961056
-39.030903,22.942684
38.276394,23.761887
29.333424,42.92855
-20.65606,2.2114923
-13.611244,18.6775
-17.166252,-29.529778
-47.0816,24.738646
-20.647001,-20.805134
35.731647,40.556377
27.289501,36.604454
27.95178,37.946648
