X,Y
-23.791962,-3.276316
-23.185183,-3.213519
-23.462652,-3.3508818
-23.248182,-3.384726
-48.100243,24.360388
-23.686026,-3.6103084
-23.377209,-3.5113342
-22.916586,-2.324513
-23.162226,-3.5527155
-22.862453,-3.571828
-46.12888,7.797189
-45.37962,7.1850758
23.915394,7.0748816
-3.075195,2.8519344
-46.00202,8.036206
-22.989128,-2.8197217
-22.589798,-3.6153634
-22.274214,-3.5326176
-43.079166,6.5488544
-46.51037,9.89878
-42.23748,6.5323677
-44.97628,7.559642
-42.45188,6.807637
-42.973667,19.179895
-42.787483,9.039699
-41.843792,10.684213
-40.67926,7.235276
24.76806,6.160924
-45.16103,8.412544
-44.131794,7.897059
6.472468,-35.629986
-46.417034,9.78346
-43.594795,8.860563
-47.66327,24.6816
-43.45157,16.821075
-22.74717,-4.3995852
-43.397346,7.984618
-42.272785,19.623852
-44.64863,8.92105
-40.73145,20.322498
-45.21652,8.948863
-43.347935,6.42451
-1.9080813,4.29405
-45.630466,8.4175005
-47.092922,24.580732
-44.565952,8.1582575
-43.2577,11.053514
-38.35609,17.69064
-42.1368,9.863138
-43.368923,7.4737973
-44.00661,12.929005
-21.960308,-3.8018925
-39.07239,9.860089
-42.050682,9.29117
-44.47607,8.25089
-42.84039,12.03239
-41.016026,8.042167
50.177284,-0.061339654
-22.394358,-3.819077
-21.643782,-3.578864
-39.951176,10.8312
-41.51634,15.338953
29.129667,-23.668327
-43.07054,11.515611
-41.5391,8.020141
-44.006607,12.327829
-39.781998,9.892392
49.9731,-0.14078754
-46.33224,23.139301
-43.8857,7.8613124
-40.026485,13.595217
23.91775,6.80594
24.815468,-51.550236
-24.52398,36.992382
-39.463924,21.04585
-42.294544,13.416452
-43.492893,10.05409
-38.218708,14.730317
-44.81377,13.331149
-22.660913,22.841337
25.108023,-51.507988
-42.891228,13.949209
-43.149914,7.792681
-37.18119,21.547531
-41.42261,20.181393
-41.638096,10.320591
-21.644793,-3.9819071
-42.701694,10.356873
-36.797745,10.844341
7.257222,-34.6892
-44.04734,9.303145
-40.75394,8.953574
-43.76982,24.089264
-38.933952,15.168437
-46.65752,25.420961
-41.203964,9.105388
-41.600067,9.610013
-36.775024,30.1463
-44.214462,11.158713
-38.688175,11.372053
-37.91204,12.811975
-43.112938,12.688581
-42.02731,11.614792
-31.515717,21.871561
-28.509153,-35.340424
-17.671751,25.794529
-39.88674,13.396527
-46.15543,24.159306
-44.231483,25.962193
22.534817,4.758067
-42.621403,17.647406
-41.60138,27.738997
-43.29596,25.177876
-45.967884,22.27112
-34.20075,25.8118
-29.109451,-26.014906
-22.081106,-3.8375692
-40.172497,8.047674
-45.842224,21.32234
-35.044384,14.622692
-40.719788,11.740927
-44.193584,11.764684
-34.795216,14.017993
-38.927013,12.001869
-40.020058,10.21766
-31.042408,21.824003
-41.597267,10.32063
-37.126488,11.917136
-36.636368,25.680826
-36.436893,21.505133
-43.64262,26.414303
-36.70914,21.051313
-40.43385,8.265589
-40.73598,11.749756
-41.05579,14.396342
-31.185614,15.763679
-40.567886,9.32449
-43.73231,15.48081
-44.863457,22.435247
-20.658268,-4.913719
-32.809032,21.350122
-21.971518,-3.8026779
-4.784069,-19.701572
-35.002697,17.262173
-41.445606,8.489288
-39.36937,8.2431965
23.822044,6.298665
27.518932,-34.46574
46.431496,8.752759
-46.08572,25.491795
-46.01342,21.489782
-44.310116,26.987026
-35.91168,13.321508
22.045755,-52.308697
-41.541683,17.719133
-33.70057,24.679611
-28.703442,35.533516
-42.36695,13.330877
-34.31685,16.51879
