Gene Name,Coverage (%),Mean Expression,Total Expression,RSP Area
00R_AC107638.2,0.07054673721340389,0.0007054673721340388,2,9103.959046318894
0610005C13Rik,0.035273368606701945,0.0003527336860670194,1,130773.8771652669
0610007P14Rik,5.537918871252204,0.05890652557319224,167,1.4193791023052549
0610009B22Rik,2.927689594356261,0.030687830687830688,87,2.1403315916980685
0610009E02Rik,0.07054673721340389,0.0007054673721340388,2,54197.38840412472
0610009L18Rik,1.6578483245149913,0.01728395061728395,49,6.433920173777722
0610009O20Rik,3.1393298059964727,0.033156966490299825,94,1.3225531882557506
0610010F05Rik,1.09347442680776,0.010934744268077601,31,221.51458064396954
0610010K14Rik,0.14109347442680778,0.0014109347442680777,4,62826.1155792308
0610012G03Rik,6.666666666666667,0.06948853615520283,197,0.5904631954346176
0610025J13Rik,0.07054673721340389,0.0007054673721340388,2,17312.173422694766
0610030E20Rik,3.2098765432098766,0.032451499118165784,92,7.015791056831003
0610037L13Rik,5.432098765432099,0.05714285714285714,162,2.4021925837096685
0610040B10Rik,0.21164021164021166,0.0024691358024691358,7,300.153519654232
0610040F04Rik,0.035273368606701945,0.0003527336860670194,1,103262.0065074322
0610040J01Rik,2.0105820105820107,0.021164021164021163,60,6.167219809216736
0610043K17Rik,0.035273368606701945,0.0003527336860670194,1,117209.94717116904
1010001B22Rik,0.1763668430335097,0.001763668430335097,5,2113.6946155123287
1010001N08Rik,0.24691358024691357,0.0024691358024691358,7,18433.529925264345
1110003F10Rik,0.10582010582010583,0.0010582010582010583,3,7953.31394358685
1110004E09Rik,4.091710758377425,0.04620811287477954,131,2.2358269576106276
1110004F10Rik,7.301587301587302,0.07901234567901234,224,0.5223383927370846
1110006O24Rik,0.14109347442680778,0.0014109347442680777,4,67798.45347920747
1110008F13Rik,13.897707231040565,0.16119929453262788,457,0.3538640261318087
1110008L16Rik,0.7760141093474426,0.007760141093474427,22,113.07992294635082
1110008P14Rik,10.405643738977071,0.11534391534391535,327,0.26030381906057176
1110012L19Rik,1.869488536155203,0.01869488536155203,53,8.90605095775424
1110017D15Rik,0.7760141093474426,0.013403880070546737,38,1625.1687584203519
1110018N20Rik,0.10582010582010583,0.0010582010582010583,3,105817.86556287174
1110019D14Rik,0.7760141093474426,0.007760141093474427,22,58.14253828264728
1110020A21Rik,0.45855379188712525,0.004585537918871252,13,53.91815962898444
1110032A03Rik,5.573192239858907,0.06172839506172839,175,1.0029762933890731
1110034G24Rik,1.4814814814814816,0.014814814814814815,42,13.442940413254423
1110035H17Rik,0.5291005291005291,0.005643738977072311,16,936.5581073029806
1110037F02Rik,1.869488536155203,0.01904761904761905,54,37.36947109379891
1110038B12Rik,2.892416225749559,0.031746031746031744,90,6.281191751805707
1110038F14Rik,4.938271604938271,0.05326278659611993,151,1.7858822295894594
1110046J04Rik,0.21164021164021166,0.0021164021164021165,6,18109.282578998274
1110051M20Rik,1.199294532627866,0.01199294532627866,34,27.729365895729323
1110059E24Rik,3.068783068783069,0.031746031746031744,90,3.709938281158445
1110059G10Rik,3.068783068783069,0.031746031746031744,90,5.495063014796166
1110065P20Rik,3.668430335097002,0.03668430335097002,104,3.676162708484965
1190002N15Rik,2.5749559082892417,0.02821869488536155,80,8.637770500944796
1190007I07Rik,1.9753086419753085,0.021869488536155203,62,12.158500312626748
1200007C13Rik,0.9523809523809524,0.010934744268077601,31,117.72203598762223
1300002E11Rik,3.1746031746031744,0.032451499118165784,92,7.091666377017862
1500002F19Rik,0.10582010582010583,0.001763668430335097,5,6532.689462074193
1500009L16Rik,0.24691358024691357,0.0024691358024691358,7,4257.6370869083785
1500011B03Rik,1.164021164021164,0.01164021164021164,33,101.65717445053907
1500011K16Rik,6.525573192239858,0.07089947089947089,201,1.0062166647553827
1500012K07Rik,0.07054673721340389,0.0010582010582010583,3,113768.47663198365
1500015A07Rik,0.45855379188712525,0.004585537918871252,13,13649.396116934164
1500026H17Rik,0.21164021164021166,0.0021164021164021165,6,502.4629613891826
1600002H07Rik,0.7760141093474426,0.007760141093474427,22,153.6402107947105
1600002K03Rik,1.869488536155203,0.01869488536155203,53,15.239262146308896
1600010M07Rik,0.45855379188712525,0.004585537918871252,13,1381.5701435175906
1600012H06Rik,3.1040564373897706,0.0328042328042328,93,2.3184690775209074
1600014C10Rik,1.9400352733686066,0.020105820105820106,57,106.1301305644869
1600020E01Rik,2.9629629629629632,0.031040564373897708,88,4.199849388334358
1600023N17Rik,0.035273368606701945,0.0003527336860670194,1,129698.48420993533
1600029O15Rik,0.07054673721340389,0.0007054673721340388,2,4311.593678009091
1700001C02Rik,0.5291005291005291,0.006349206349206349,18,38028.32340975302
1700001J03Rik,0.035273368606701945,0.0003527336860670194,1,62456.27297528279
1700001L05Rik,0.035273368606701945,0.0003527336860670194,1,128423.30870240202
1700001L19Rik,0.21164021164021166,0.0028218694885361554,8,73768.2226085377
1700003E16Rik,0.28218694885361556,0.0028218694885361554,8,13585.917805850004
1700006E09Rik,0.10582010582010583,0.0010582010582010583,3,36064.79875436099
1700007K13Rik,0.6349206349206349,0.011287477954144622,32,2172.472015535138
1700007L15Rik,0.21164021164021166,0.0024691358024691358,7,8795.975858100765
1700008J07Rik,0.31746031746031744,0.003527336860670194,10,405.690398374938
1700008O03Rik,0.07054673721340389,0.0007054673721340388,2,102701.88843149401
1700010I14Rik,0.21164021164021166,0.0021164021164021165,6,6109.59919414836
1700011D18Rik,0.035273368606701945,0.0003527336860670194,1,44072.25719631114
1700012D14Rik,0.31746031746031744,0.0031746031746031746,9,506.83237766886896
1700016A09Rik,0.035273368606701945,0.0003527336860670194,1,68814.42555233555
1700016B15Rik,0.035273368606701945,0.0003527336860670194,1,49690.41039264326
1700016H13Rik,0.1763668430335097,0.001763668430335097,5,662.5597146664622
1700016K19Rik,0.5291005291005291,0.010934744268077601,31,1056.5768537040508
1700017B05Rik,1.5520282186948853,0.015520282186948854,44,174.32081584231923
1700018A04Rik,0.28218694885361556,0.003527336860670194,10,131365.20221449394
1700018L02Rik,0.07054673721340389,0.0007054673721340388,2,62901.259827622416
1700019D03Rik,0.4232804232804233,0.004585537918871252,13,3261.0530981684606
1700020I14Rik,4.232804232804233,0.044444444444444446,126,2.364990800509572
1700021F05Rik,3.0335097001763667,0.031040564373897708,88,4.438561440891324
1700021F13Rik,0.4232804232804233,0.004585537918871252,13,60982.27576768164
1700023H06Rik,1.5873015873015872,0.015873015873015872,45,65.68344132472843
1700025G04Rik,1.9753086419753085,0.020105820105820106,57,25.478118681557916
1700026J14Rik,0.10582010582010583,0.0010582010582010583,3,53045.4750250458
1700027A07Rik,0.035273368606701945,0.0003527336860670194,1,92394.4997902251
1700027J19Rik,1.728395061728395,0.01834215167548501,52,6.598439521440223
1700028E10Rik,0.31746031746031744,0.0031746031746031746,9,442.9788251954009
1700029I15Rik,0.07054673721340389,0.0007054673721340388,2,31560.99888610849
1700029J07Rik,0.31746031746031744,0.0031746031746031746,9,393.6062850118593
1700030K09Rik,0.7760141093474426,0.008112874779541446,23,2865.9292371756214
1700037C18Rik,0.7054673721340388,0.007054673721340388,20,304.1420466645086
1700037H04Rik,2.4691358024691357,0.025044091710758377,71,43.943651432635946
1700040L02Rik,0.24691358024691357,0.0028218694885361554,8,1344.4190467218323
1700052K11Rik,0.28218694885361556,0.0028218694885361554,8,435.3412802387425
1700054A03Rik,0.07054673721340389,0.0007054673721340388,2,56456.77706248437
1700055D18Rik,0.10582010582010583,0.0010582010582010583,3,60982.27576768164
1700056E22Rik,0.49382716049382713,0.0049382716049382715,14,36141.08160676512
1700056N10Rik,0.07054673721340389,0.0007054673721340388,2,41081.04101321893
1700061H18Rik,0.07054673721340389,0.0007054673721340388,2,4949.816479180272
1700064H15Rik,0.035273368606701945,0.0003527336860670194,1,35783.9488583698
1700064M15Rik,0.1763668430335097,0.001763668430335097,5,71401.19961118198
1700066B19Rik,0.21164021164021166,0.0021164021164021165,6,1311.5327907724613
1700066M21Rik,0.28218694885361556,0.0028218694885361554,8,8384.680909600298
1700084E18Rik,0.1763668430335097,0.001763668430335097,5,3445.532257494656
1700086O06Rik,0.3527336860670194,0.0038800705467372134,11,1601.4491466718525
1700088E04Rik,1.0229276895943562,0.014462081128747795,41,55.990211990501294
1700095J07Rik,0.035273368606701945,0.0003527336860670194,1,38824.64517659756
1700096K18Rik,0.8465608465608466,0.008465608465608466,24,88.26845441224168
1700097N02Rik,0.599647266313933,0.006349206349206349,18,4156.24056387455
1700112D23Rik,0.3527336860670194,0.003527336860670194,10,389.04502563683764
1700112E06Rik,1.2345679012345678,0.012345679012345678,35,30.682412737833545
1700113A16Rik,0.49382716049382713,0.0049382716049382715,14,82.32685718495178
1700120B22Rik,0.035273368606701945,0.0003527336860670194,1,69117.19312921785
1700120C14Rik,0.3880070546737213,0.0038800705467372134,11,2739.2769052925732
1700123K08Rik,0.035273368606701945,0.0003527336860670194,1,37231.301283958426
1700123M08Rik,0.21164021164021166,0.0024691358024691358,7,1160.5924924961778
1700123O20Rik,3.7742504409171076,0.039153439153439155,111,4.598653670370535
1810006J02Rik,0.14109347442680778,0.0014109347442680777,4,114842.38025902837
1810007D17Rik,0.21164021164021166,0.0021164021164021165,6,2079.9821316263515
1810009A15Rik,0.10582010582010583,0.0010582010582010583,3,82286.59370335055
1810010D01Rik,0.3527336860670194,0.003527336860670194,10,353.0658712883354
1810010H24Rik,2.6455026455026456,0.02892416225749559,82,1.9997980655018412
1810011H11Rik,0.6349206349206349,0.007054673721340388,20,13337.569193754473
1810011O10Rik,0.7760141093474426,0.008465608465608466,24,1033.4111566655947
1810013D15Rik,0.14109347442680778,0.0014109347442680777,4,955.4999235644725
1810013L24Rik,1.834215167548501,0.01869488536155203,53,11.558300682089243
1810014B01Rik,0.5291005291005291,0.005643738977072311,16,1499.638220139605
1810019D21Rik,1.869488536155203,0.019400352733686066,55,7.122222689878012
1810019N24Rik,0.10582010582010583,0.0010582010582010583,3,4542.9405401717795
1810021B22Rik,0.1763668430335097,0.001763668430335097,5,3026.847563740957
1810022K09Rik,17.389770723104057,0.20317460317460317,576,0.10355586832794574
1810024B03Rik,1.2345679012345678,0.012345679012345678,35,18.678117149964564
1810026B05Rik,5.432098765432099,0.056790123456790124,161,0.31687208315205395
1810030O07Rik,2.7865961199294533,0.02857142857142857,81,2.288039283676916
1810032O08Rik,1.4814814814814816,0.014814814814814815,42,18.723867488773557
1810034E14Rik,0.14109347442680778,0.001763668430335097,5,1332.1198565332738
1810037I17Rik,20.776014109347443,0.2652557319223986,752,0.08426838809228482
1810041H14Rik,0.8818342151675485,0.008818342151675485,25,12.345499071366742
1810043G02Rik,1.164021164021164,0.01199294532627866,34,17.103248594924693
1810044D09Rik,1.1287477954144622,0.01164021164021164,33,32.01818336063807
1810055G02Rik,1.0582010582010581,0.010582010582010581,30,79.49012728091026
1810058I24Rik,11.64021164021164,0.1308641975308642,371,0.4269857628363023
1810059H22Rik,0.5643738977072311,0.005643738977072311,16,183.81747309062956
1810062G17Rik,0.3527336860670194,0.003527336860670194,10,229.5313185903388
1810062O18Rik,0.035273368606701945,0.0003527336860670194,1,40717.64893231333
1810063I02Rik,0.45855379188712525,0.004585537918871252,13,176.799757098749
1810064F22Rik,0.4232804232804233,0.004232804232804233,12,255.14318860042647
2010001A14Rik,0.24691358024691357,0.0024691358024691358,7,681.0258155610319
2010001K21Rik,0.07054673721340389,0.0007054673721340388,2,6960.17771814569
2010005H15Rik,0.24691358024691357,0.0024691358024691358,7,1703.804724270126
2010007H06Rik,0.5643738977072311,0.005643738977072311,16,104.2253770243188
2010013B24Rik,0.10582010582010583,0.0010582010582010583,3,96390.44585939878
2010015M23Rik,0.14109347442680778,0.0014109347442680777,4,45635.98585814427
2010107E04Rik,31.35802469135803,0.42328042328042326,1200,0.0722260359674357
2010107G23Rik,1.5167548500881833,0.015520282186948854,44,7.940455599635226
2010109A12Rik,0.14109347442680778,0.0014109347442680777,4,35396.61653869401
2010111I01Rik,3.8095238095238098,0.04021164021164021,114,0.8639282568227231
2010204K13Rik,0.3527336860670194,0.0038800705467372134,11,806.6881470491381
2010300C02Rik,0.8465608465608466,0.009171075837742505,26,14.613983532331797
2010308F09Rik,0.035273368606701945,0.0003527336860670194,1,85696.37720103368
2010309G21Rik,0.6349206349206349,0.007054673721340388,20,748.1963163438927
2010315B03Rik,1.0582010582010581,0.010582010582010581,30,25.15758372328242
2010320M18Rik,1.5167548500881833,0.015167548500881834,43,8.69893539360324
2200002D01Rik,3.492063492063492,0.038447971781305115,109,0.4508947502565037
2210008F06Rik,0.035273368606701945,0.0003527336860670194,1,99208.31128597193
2210011C24Rik,1.2345679012345678,0.013756613756613757,39,37.35648200663022
2210013O21Rik,4.514991181657849,0.04656084656084656,132,2.298516638889861
2210016F16Rik,5.714285714285714,0.059964726631393295,170,1.4047654212390897
2210016L21Rik,3.3156966490299826,0.03527336860670194,100,4.631753528769305
2210406H18Rik,0.1763668430335097,0.001763668430335097,5,31515.49241091041
2210406O10Rik,0.035273368606701945,0.0003527336860670194,1,53359.99470539922
2210408F21Rik,1.09347442680776,0.010934744268077601,31,20.539552581502143
2210408I21Rik,0.14109347442680778,0.0014109347442680777,4,43657.54802404845
2300009A05Rik,2.5749559082892417,0.026807760141093474,76,2.8179828609985442
2310001H17Rik,2.4691358024691357,0.026807760141093474,76,28.26614318372508
2310001K24Rik,0.07054673721340389,0.0007054673721340388,2,61747.124596646056
2310002F09Rik,0.10582010582010583,0.0010582010582010583,3,43063.55752847182
2310007B03Rik,2.18694885361552,0.025749559082892417,73,7.727068605846323
2310009A05Rik,5.361552028218695,0.055379188712522044,157,2.1441318202951143
2310009B15Rik,2.751322751322751,0.027865961199294534,79,6.2979194920362005
2310010J17Rik,2.751322751322751,0.02927689594356261,83,5.003091047056319
2310011J03Rik,4.444444444444445,0.04585537918871252,130,5.8181342951965895
2310014F06Rik,0.1763668430335097,0.001763668430335097,5,7423.356492023209
2310015A10Rik,0.6701940035273368,0.007054673721340388,20,306.2022822662094
2310016G11Rik,0.07054673721340389,0.0007054673721340388,2,47603.3053759843
2310022A10Rik,1.763668430335097,0.01834215167548501,52,32.35098466109301
2310022B05Rik,3.1746031746031744,0.0345679012345679,98,2.1108645194275066
2310026L22Rik,0.21164021164021166,0.0021164021164021165,6,101.5212067633618
2310030G06Rik,3.2451499118165783,0.0328042328042328,93,0.6399315137097472
2310033P09Rik,3.7742504409171076,0.03880070546737213,110,1.6637712596137866
2310034G01Rik,0.07054673721340389,0.0007054673721340388,2,31205.327622564335
2310035C23Rik,2.0811287477954146,0.021869488536155203,62,20.47811466335373
2310036O22Rik,12.416225749559082,0.1326278659611993,376,0.5929668348945583
2310039H08Rik,4.021164021164021,0.042328042328042326,120,0.3361480078193735
2310039L15Rik,0.5643738977072311,0.005643738977072311,16,25.6504904180239
2310040G07Rik,0.10582010582010583,0.0010582010582010583,3,3058.136047971774
2310040G24Rik,0.49382716049382713,0.0049382716049382715,14,661.3870386162516
2310043P16Rik,0.1763668430335097,0.0021164021164021165,6,60322.52758416058
2310047D07Rik,0.07054673721340389,0.0007054673721340388,2,42278.03446291883
2310057M21Rik,1.0582010582010581,0.010582010582010581,30,83.12685318107435
2310058D17Rik,0.5291005291005291,0.00599647266313933,17,143.42575123715403
2310061I04Rik,3.28042328042328,0.03421516754850088,97,2.691773878293078
2310068J16Rik,0.31746031746031744,0.0031746031746031746,9,2126.2759474399404
2410002F23Rik,1.199294532627866,0.01199294532627866,34,32.05688569792651
2410003L11Rik,0.035273368606701945,0.0003527336860670194,1,31535.817247640625
2410004B18Rik,3.2451499118165783,0.03350970017636684,95,2.427117853171972
2410004I01Rik,0.24691358024691357,0.0024691358024691358,7,4306.395112840983
2410004P03Rik,0.5291005291005291,0.007407407407407408,21,4276.924155773946
